"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9XGPB6QP","journalArticle","2004","Riebesell, Ulf","Effects of CO 2 enrichment on marine phytoplankton","Journal of Oceanography","","","","","","2004","2020-06-20 09:11:28","2020-06-20 09:11:28","","719–729","","4","60","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","/Users/janosh/Library/Zotero/storage/8WL72A4J/Riebesell - 2004 - Effects of CO 2 enrichment on marine phytoplankton.pdf; /Users/janosh/Library/Zotero/storage/FVRK98II/s10872-004-5764-z.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZ56BKM4","journalArticle","2001","Zondervan, Ingrid; Zeebe, Richard E.; Rost, Björn; Riebesell, Ulf","Decreasing marine biogenic calcification: A negative feedback on rising atmospheric pCO2","Global Biogeochemical Cycles","","","","","","2001","2020-06-20 09:11:28","2020-06-20 09:11:28","","507–516","","2","15","","","Decreasing marine biogenic calcification","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/8KTAX7KG/2000GB001321.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUKGQM7M","bookSection","2004","Rost, Björn; Riebesell, Ulf","Coccolithophores and the biological pump: responses to environmental changes","Coccolithophores","","","","","","2004","2020-06-20 09:11:28","2020-06-20 09:11:28","","99–125","","","","","","Coccolithophores and the biological pump","","","","","Springer","","","","","","","Google Scholar","","","","/Users/janosh/Library/Zotero/storage/4IFB4BDM/Rost and Riebesell - 2004 - Coccolithophores and the biological pump response.pdf; /Users/janosh/Library/Zotero/storage/WA8JKFSY/978-3-662-06278-4_5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2SCRWV9","journalArticle","2004","Engel, Anja; Thoms, Silke; Riebesell, Ulf; Rochelle-Newall, Emma; Zondervan, Ingrid","Polysaccharide aggregation as a potential sink of marine dissolved organic carbon","Nature","","","","","","2004","2020-06-20 09:11:28","2020-06-20 09:11:28","","929–932","","6986","428","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/CK6252TS/Engel et al. - 2004 - Polysaccharide aggregation as a potential sink of .pdf; /Users/janosh/Library/Zotero/storage/JWXBSSF6/nature02453.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAEW75ID","journalArticle","2001","Burkhardt, Steffen; Amoroso, Gabi; Riebesell, Ulf; Sültemeyer, Dieter","CO2 and HCO3 ߚ uptake in marine diatoms acclimated to different CO2 concentrations","Limnology and Oceanography","","","","","","2001","2020-06-20 09:11:28","2020-06-20 09:11:28","","1378–1391","","6","46","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/IEK65ASK/lo.2001.46.6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VWFABJF","journalArticle","1999","Burkhardt, Steffen; Riebesell, Ulf; Zondervan, Ingrid","Effects of growth rate, CO2 concentration, and cell size on the stable carbon isotope fractionation in marine phytoplankton","Geochimica et Cosmochimica Acta","","","","","","1999","2020-06-20 09:11:28","2020-06-20 09:11:28","","3729–3741","","22","63","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/janosh/Library/Zotero/storage/JLG65K7A/Burkhardt et al. - 1999 - Effects of growth rate, CO2 concentration, and cel.pdf; /Users/janosh/Library/Zotero/storage/TME9UMJB/S0016703799002173.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4S7FAR3M","journalArticle","2005","Engel, Anja; Zondervan, Ingrid; Aerts, Katrien; Beaufort, Luc; Benthien, Albert; Chou, Lei; Delille, Bruno; Gattuso, Jean-Pierre; Harlay, Jerome; Heemann, Christel","Testing the direct effect of CO2 concentration on a bloom of the coccolithophorid Emiliania huxleyi in mesocosm experiments","Limnology and Oceanography","","","","","","2005","2020-06-20 09:11:28","2020-06-20 09:11:28","","493–507","","2","50","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/IM7BCUMM/lo.2005.50.2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDCVZZKS","journalArticle","2002","Gervais, Frank; Riebesell, Ulf; Gorbunov, Maxim Y.","Changes in primary productivity and chlorophyll a in response to iron fertilization in the Southern Polar Frontal Zone","Limnology and Oceanography","","","","","","2002","2020-06-20 09:11:28","2020-06-20 09:11:28","","1324–1335","","5","47","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/ZFQDJGLU/lo.2002.47.5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67ACBLSU","journalArticle","2012","Gao, Kunshan; Xu, Juntian; Gao, Guang; Li, Yahe; Hutchins, David A.; Huang, Bangqin; Wang, Lei; Zheng, Ying; Jin, Peng; Cai, Xiaoni","Rising CO 2 and increased light exposure synergistically reduce marine primary productivity","Nature climate change","","","","","","2012","2020-06-20 09:11:28","2020-06-20 09:11:28","","519–523","","7","2","","","","","","","","","","","","","","","Google Scholar","","Publisher: Nature Publishing Group","","/Users/janosh/Library/Zotero/storage/GX5JT9FP/Gao et al. - 2012 - Rising CO 2 and increased light exposure synergist.pdf; /Users/janosh/Library/Zotero/storage/EFHALK2U/nclimate1507.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5TFTSSR","journalArticle","1999","WOLF-GLADROW, DIETER A.; Riebesell, U. L. F.; Burkhardt, Steffen; Bijma, Jelle","Direct effects of CO2 concentration on growth and isotopic composition of marine plankton","Tellus b","","","","","","1999","2020-06-20 09:11:28","2020-06-20 09:11:28","","461–476","","2","51","","","","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/janosh/Library/Zotero/storage/68V6N9N5/j.1600-0889.1999.00023.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
